"",,,Social,Positive,Negative,GDP per,Healthy life
Country,Region,Ladder,support Freedom Corruption Donation Generosity,affect,affect,capita,expectancy
Russia,2,5.118,0.890,0.622,0.938,0.047,-0.287,0.618,0.209,12365.2,58.129
Rwanda,9,4.215,0.718,0.915,0.287,,,0.735,0.189,840.475,37.537
Saudi Arabia,8,7.173,0.880,0.622,,0.396,0.022,0.751,0.237,20213.8,61.291
Senegal,9,4.633,0.758,0.716,0.793,0.184,-0.012,0.747,0.212,1675.29,47.868
Serbia,1,4.750,0.844,0.453,0.904,0.143,-0.171,0.576,0.334,8858.42,61.720
Sierra Leone,9,3.607,0.624,0.700,0.833,0.313,0.166,0.543,0.336,853.438,28.275
Singapore,3,6.640,0.910,0.791,0.051,0.612,0.207,0.726,0.187,46602.3,69.869
Slovakia,1,5.265,0.954,0.542,0.951,0.293,-0.064,0.678,0.308,16174.8,65.998
Slovenia,1,5.811,0.936,0.936,0.687,0.413,0.030,0.652,0.307,23475.6,69.081
South Africa,9,5.144,0.850,0.670,0.860,0.179,-0.135,0.769,0.216,8787.06,43.968
South Korea,5,5.540,0.800,0.687,0.804,0.310,-0.073,0.669,0.285,23315.2,67.837
Spain,0,7.072,0.959,0.849,0.770,0.290,-0.106,0.769,0.252,27463.2,72.185
Sri Lanka,4,4.379,0.851,0.730,0.841,0.352,0.100,0.733,0.218,3665.72,61.447
Sweden,0,7.309,0.934,0.937,0.263,0.546,0.136,0.818,0.164,32872.5,73.339
Switzerland,0,7.473,0.951,0.919,0.386,0.707,0.291,0.821,0.212,36963.6,72.776
Taiwan,5,6.189,0.882,0.630,0.854,0.356,-0.037,0.814,0.094,26693,65.519
Tajikistan,2,4.522,0.725,0.742,0.726,0.110,-0.056,0.632,0.164,1375.87,54.356
Tanzania,9,4.002,0.727,0.746,0.692,0.137,-0.029,0.740,0.217,1090.62,45.868
Thailand,3,5.843,0.892,0.866,0.920,0.661,0.366,0.821,0.171,6814.58,59.942
Togo,9,3.202,0.435,0.628,0.849,0.127,-0.022,0.615,0.348,858.217,44.847
Trinidad and,,,,,,,,,,,
Tobago,6,5.832,0.887,0.840,0.918,0.499,0.127,0.798,0.229,20058.2,61.787
Turkey,8,5.173,0.806,0.541,0.829,0.157,-0.180,0.603,0.395,11405.3,61.688
Uganda,9,4.096,0.803,0.727,0.856,0.135,-0.020,0.649,0.241,944.075,42.677
Ukraine,2,5.025,0.842,0.582,0.948,0.048,-0.233,0.629,0.229,5807.51,59.437
United Arab,,,,,,,,,,,
Emirates,8,6.734,0.903,0.898,,0.407,-0.051,0.746,0.275,66854.7,63.843
United Kingdom,0,6.886,0.976,0.877,0.444,0.728,0.319,0.820,0.251,32933.2,70.323
United States,7,7.364,0.965,0.890,0.620,0.606,0.178,0.828,0.245,42872.3,68.889
Uruguay,6,5.740,0.893,0.797,0.526,0.173,-0.149,0.781,0.290,9867.93,65.946
Uzbekistan,2,5.232,0.903,0.784,0.597,0.098,-0.111,0.728,0.195,2000.97,59.400
Venezuela,6,6.847,0.951,0.818,0.682,0.272,-0.050,0.839,0.206,9537.82,64.244
Vietnam,3,5.359,0.871,0.902,0.745,0.277,0.061,0.634,0.205,2237.29,61.407
Yemen,8,4.477,0.825,0.673,,0.226,0.009,0.592,0.379,2237.68,49.500
Zambia,9,4.414,0.743,0.702,0.868,0.152,-0.019,0.694,0.236,1178.57,34.656
Zimbabwe,9,3.554,0.825,0.443,0.923,0.098,0.015,0.688,0.281,342.14,33.100
